age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
24,entrepreneur,single,university.degree,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,-3.2,93.156,-39.1,2.544,5120.9
80,technician,unknown,basic.4y,unknown,yes,no,telephone,nov,thu,1,18,0,nonexistent,-3.4,92.595,-27.2,0.792,5041.6
70,technician,married,university.degree,no,no,no,telephone,may,wed,1,999,0,nonexistent,-3.2,93.743,-39.7,4.868,5139.1
52,admin.,single,high.school,no,yes,no,telephone,jul,wed,3,999,0,nonexistent,-0.5,92.508,-27.4,1.088,5184.8
52,blue-collar,married,basic.9y,unknown,no,no,cellular,jun,mon,8,999,1,nonexistent,0.4,93.137,-41.0,0.815,4968.4
87,admin.,divorced,high.school,no,yes,no,cellular,jul,tue,2,999,0,nonexistent,-2.3,94.66,-31.8,1.719,5121.2
24,entrepreneur,married,professional.course,no,no,no,cellular,may,fri,1,999,0,nonexistent,0.7,94.755,-48.8,0.923,5024.8
74,technician,single,basic.9y,unknown,yes,no,cellular,may,mon,1,999,0,failure,-3.1,94.182,-37.5,2.642,5194.7
33,management,married,unknown,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,0.4,92.999,-31.6,2.91,5030.7
24,blue-collar,married,unknown,no,no,yes,cellular,jul,fri,1,999,0,nonexistent,1.1,93.966,-28.7,2.013,5125.1
60,blue-collar,single,high.school,no,yes,no,cellular,nov,mon,2,999,0,success,0.3,94.011,-31.1,0.859,5110.0
97,blue-collar,married,university.degree,no,no,no,cellular,aug,thu,3,20,0,nonexistent,-0.0,93.196,-49.9,1.126,5068.4
77,management,divorced,professional.course,no,no,no,telephone,jun,tue,3,999,0,nonexistent,0.6,93.846,-41.9,2.33,5142.8
79,management,married,unknown,no,no,no,cellular,dec,fri,10,999,0,nonexistent,-3.2,92.229,-49.6,0.901,5155.6
75,admin.,single,high.school,no,no,yes,cellular,jul,thu,4,999,0,nonexistent,-2.4,92.737,-48.2,3.714,5113.6
81,unemployed,married,high.school,no,yes,no,telephone,jul,fri,3,999,0,nonexistent,-2.8,93.548,-34.7,1.547,5164.2
59,admin.,married,high.school,no,no,no,telephone,apr,tue,2,999,0,nonexistent,-1.0,92.621,-33.8,1.966,5223.7
27,self-employed,married,university.degree,no,no,yes,telephone,may,wed,2,999,0,nonexistent,0.2,92.627,-32.3,2.372,5074.5
85,admin.,married,basic.9y,no,yes,yes,cellular,jun,thu,1,999,2,nonexistent,-0.4,94.347,-30.1,2.472,5099.7
53,blue-collar,married,high.school,unknown,yes,no,telephone,jun,tue,2,16,0,nonexistent,0.7,94.739,-33.1,0.641,4966.9
58,entrepreneur,single,professional.course,no,no,no,cellular,may,tue,2,999,0,nonexistent,-2.7,93.628,-31.7,1.128,5174.1
47,admin.,single,basic.4y,no,yes,no,cellular,jul,mon,3,999,1,nonexistent,0.1,94.354,-49.6,4.44,5101.2
31,blue-collar,single,basic.4y,no,no,no,cellular,may,fri,4,999,0,failure,-2.5,94.742,-45.2,0.639,5071.5
92,blue-collar,married,high.school,no,unknown,no,cellular,may,thu,1,23,0,nonexistent,-2.1,92.564,-35.9,2.876,4988.5
81,admin.,married,high.school,no,no,no,cellular,jul,thu,1,999,0,nonexistent,0.0,93.351,-30.3,2.793,5198.9
69,services,married,professional.course,no,yes,yes,cellular,may,thu,2,999,0,nonexistent,1.3,93.208,-50.7,2.103,5068.1
49,entrepreneur,single,professional.course,no,yes,no,telephone,nov,wed,5,999,0,nonexistent,-0.5,92.406,-38.5,2.537,5144.1
84,entrepreneur,single,high.school,unknown,yes,no,cellular,apr,wed,2,4,0,nonexistent,-3.1,94.139,-34.6,4.077,5003.1
61,blue-collar,married,basic.4y,unknown,yes,no,cellular,nov,wed,4,25,0,nonexistent,-0.4,93.314,-50.1,4.345,5217.9
53,technician,single,university.degree,no,no,no,cellular,may,thu,2,999,1,nonexistent,-3.2,93.405,-41.2,1.782,5010.8
53,admin.,married,basic.4y,no,no,no,cellular,may,tue,3,16,0,failure,0.8,92.588,-29.4,2.057,5016.4
35,admin.,married,university.degree,no,yes,yes,cellular,may,fri,1,4,0,nonexistent,0.0,92.665,-34.7,1.704,5190.8
24,admin.,married,university.degree,no,yes,yes,cellular,may,fri,1,999,0,nonexistent,-2.6,94.529,-45.1,2.751,5205.0
62,unemployed,married,basic.9y,no,no,no,cellular,oct,tue,1,999,0,nonexistent,-3.0,92.316,-30.4,3.648,5019.7
89,self-employed,single,university.degree,unknown,yes,no,telephone,jul,wed,1,999,1,success,-2.5,92.798,-42.5,1.641,5087.9
22,management,divorced,university.degree,no,yes,no,telephone,may,mon,1,999,1,nonexistent,1.3,92.95,-30.4,2.093,5157.6
87,technician,married,university.degree,unknown,yes,no,cellular,nov,fri,4,999,0,nonexistent,-1.2,93.459,-43.7,4.738,5195.9
84,technician,married,high.school,no,no,yes,telephone,jul,fri,1,999,0,nonexistent,0.4,93.706,-36.7,0.848,5063.9
