threshold,recall,precision,calls_made,subscribers_caught,subscribers_missed,false_alarms,net_profit,missed_nim_revenue
0.05,1.0,0.113,6177,696,0,5481,108315,0
0.1,1.0,0.113,6177,696,0,5481,108315,0
0.15,1.0,0.113,6169,696,0,5473,108355,0
0.2,0.98,0.124,5491,682,14,4809,106145,8960
0.25,0.937,0.145,4500,652,44,3848,99100,28160
0.3,0.868,0.175,3458,604,92,2854,85110,58880
0.35,0.779,0.249,2180,542,154,1638,66700,98560
0.4,0.723,0.322,1561,503,193,1058,54195,123520
0.45,0.668,0.377,1234,465,231,769,40630,147840
0.5,0.639,0.423,1053,445,251,608,33535,160640
0.55,0.626,0.442,987,436,260,551,30265,166400
0.6,0.616,0.463,927,429,267,498,27765,170880
0.65,0.595,0.474,873,414,282,459,22035,180480
0.7,0.557,0.492,788,388,308,400,12060,197120
0.75,0.467,0.522,623,325,371,298,-12315,237440
0.8,0.341,0.592,400,237,459,163,-46400,293760
0.85,0.226,0.68,231,157,539,74,-77555,344960
0.9,0.161,0.742,151,112,584,39,-95155,373760
